video_id,query_id,query_type,query_text,time_range,segment_ids,grounding_visual,grounding_audio,selected_captions
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q006,explicit_event,"When does the man angrily swing an axe at the door, making loud crashing sounds?","[85.0, 95.0]","s018,s019","A man in a red robe swings an axe at a door, then runs down a hallway.; A man with long hair and a beard, wearing a red jacket, swings an axe at a door.","A loud crash is heard, followed by a man shouting and a woman screaming.; The sound of an axe hitting wood is heard, followed by a loud crash.","[s018] Visual: A man in a red robe swings an axe at a door, then runs down a hallway. A woman in a blue robe holds a child in a bedroom, looking back at the door with a worried expression. The man in the red robe is seen again, running down the hallway. | Audio: A loud crash is heard, followed by a man shouting and a woman screaming.
[s019] Visual: A man with long hair and a beard, wearing a red jacket, swings an axe at a door. The scene cuts to a woman in a blue robe holding a child, who then turns and runs away from the door. The woman appears distressed and is moving quickly through a room. | Audio: The sound of an axe hitting wood is heard, followed by a loud crash. The woman's distressed vocalizations are audible as she runs."
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q06,evidence_cue,"When does the woman groan repeatedly with her head tilted back and eyes closed, indicating sadness?","[100.0, 105.0]",s021,"Her eyes closed and her head tilted back, then brings her hand to her forehead.","A woman sighs and groans repeatedly, indicating discomfort or exasperation.","[s021] Visual: A man with dark hair and a beard, wearing a striped sweater, sits at a table in a restaurant, looking at a woman with blonde, voluminous hair. The woman, wearing a white shirt and dark cardigan, has her eyes closed and her head tilted back, then brings her hand to her forehead. Other people are visible in the background, out of focus. | Audio: A woman sighs and groans repeatedly, indicating discomfort or exasperation."
emostim_04_28DaysLater_clip_6,emostim_04_28DaysLater_clip_6_q02,evidence_cue,"When does a man in a dark outfit exhibit panic or urgency through his quick movements and tense demeanor, suggesting fear?","[5.0, 10.0]",s002,"A man in a dark, hooded outfit and dark pants is seen in a dimly lit room; moving quickly, appearing to be in a state of panic or urgency; holding a small object in his hand","A low, ominous musical score that creates a tense atmosphere","[s002] Visual: A man in a dark, hooded outfit and dark pants is seen in a dimly lit room with a checkered floor. He is moving quickly, appearing to be in a state of panic or urgency, and is holding a small object in his hand. The room has a bed with white sheets and a window in the background. | Audio: The audio contains a low, ominous musical score that creates a tense atmosphere. There are no other discernible sounds such as speech or environmental noises."
emostim_05_TheSilenceOfTheLambs_b_clip_1,emostim_05_TheSilenceOfTheLambs_b_clip_1_q02,evidence_cue,"When does the woman with long brown hair look around with a concerned expression and darting eyes, showing fear?","[50.0, 55.0]",s011,"woman... looking around with a concerned expression, her eyes darting from side to side.","A woman speaks in a hushed, urgent tone, followed by a low, sustained musical note.","[s011] Visual: A woman with long brown hair is seen from a low angle, her face partially obscured by a horizontal object in the foreground. She looks around with a concerned expression, her eyes darting from side to side. The background is a dimly lit, indistinct room. | Audio: A woman speaks in a hushed, urgent tone, followed by a low, sustained musical note."
emostim_06_TheChamp_clip_3,emostim_06_TheChamp_clip_3_q02,emotion_state,When does the young child appear sad while wailing?,"[15.0, 55.0]","s004,s005,s006,s007,s008,s009,s010,s011","young boy is shown in a close-up; He is crying, with tears on his face and his mouth open as if wailing; He is wearing a grey shirt and appears to be in distress; young boy is shown in a close-up, his face wet with tears; His expression is one of distress and he is crying; his face contorted in distress as he cries","the boy's loud, distressed crying and wailing; The boy is audibly crying and whimpering, with his voice breaking as he speaks; The audio contains the sound of a child crying and whimpering, indicating distress; sound of a child crying, with audible sobs and whimpers; The crying is the dominant sound, indicating a state of distress","[s004] Visual: A young boy with blonde hair, wearing a grey shirt, is shown in a close-up. He is crying, with tears on his face and his mouth open as if wailing. An adult's hand is visible on his shoulder, and the background is dark. | Audio: The audio consists of the boy's loud, distressed crying and wailing.
[s005] Visual: A young boy with blonde hair, wearing a grey shirt, is shown in a close-up. He is holding a small, dark object in his hands and looking down at it intently. His hands are moving slightly as he examines the object. | Audio: The audio contains the sound of a child speaking, but the words are unclear and muffled.
[s006] Visual: A young boy with blonde hair is shown in a close-up, crying with tears on his face. He is wearing a grey shirt and appears to be in distress. An adult's hand is visible, gently touching the boy's head and shoulder in a comforting gesture. | Audio: The boy is audibly crying and whimpering, with his voice breaking as he speaks. The audio is clear, capturing the emotional distress in his voice.
[s007] Visual: A young boy with blonde hair, wearing a grey shirt, is shown in a close-up. He is crying, with tears on his face, and appears to be in distress. An adult's hands are visible, holding the boy's hands and a black object, possibly a phone or camera. | Audio: The audio contains the sound of a child crying and whimpering, indicating distress.
[s008] Visual: A young boy with blonde hair is shown in a close-up, his face wet with tears. He is looking down at his hands, which are covered in a red substance resembling blood. His expression is one of distress and he appears to be crying. | Audio: A child's voice is heard shouting urgently, followed by a loud, sustained electronic tone.
[s009] Visual: A young boy with blonde hair is shown in a close-up, his face contorted in distress as he cries. He is holding a hand that has a visible wound with blood on it. The background is dark, focusing all attention on the boy and the injured hand. | Audio: The audio contains the sound of a child crying, with audible sobs and whimpers. The crying is the dominant sound, indicating a state of distress.
[s010] Visual: A young boy with blonde hair, wearing a grey shirt, is shown in a close-up. He is leaning over another person, whose hands are visible in the foreground. The boy's face is contorted as he appears to be crying or shouting. | Audio: A child's voice shouts loudly, followed by a long, sustained electronic tone.
[s011] Visual: A young boy with short, light-colored hair is shown in a close-up, crying and leaning over an older man. The older man, with thinning hair and a weary expression, is sitting and looking down. The boy's hand is resting on the older man's shoulder in a comforting gesture. | Audio: A child's voice is heard speaking in a distressed tone, followed by a loud, sustained electronic buzzer sound."
emostim_07_TheSilenceOfTheLambs_a_clip_2,emostim_07_TheSilenceOfTheLambs_a_clip_2_q02,evidence_cue,When does the woman with dark hair show fear by looking off to the side with a tense expression and a mouth slightly open?,"[5.0, 10.0]",s002,looking off to the side with a tense expression; mouth slightly open; head turns quickly to the right,"sudden, sharp metallic clang or impact sound","[s002] Visual: A woman with dark hair, wearing a green cardigan with star patterns over a light-colored shirt, is seen in a dimly lit room with a brick wall. She is looking off to the side with a tense expression, her mouth slightly open as if in surprise or fear. Her head turns quickly to the right, and the scene ends with a red light flashing in the background. | Audio: The audio contains a low, continuous hum, possibly from machinery or an electrical source, and a sudden, sharp metallic clang or impact sound."
meld_01_dia337,meld_01_dia337_q02,evidence_cue,When does the man in the blue shirt turn his head sharply and speak with a tone of surprise and concern?,"[55.0, 60.0]",s012,"turns his head sharply to his right, then back to the other man",A male voice speaks with a tone of surprise and concern,"[s012] Visual: The scene takes place indoors, likely in a living room or hallway. Two men are having a conversation. The man on the left, wearing a pink and white plaid shirt, is facing the man on the right, who is wearing a blue and black plaid shirt over a white t-shirt. The man in the blue shirt turns his head sharply to his right, then back to the other man, with a look of surprise and concern on his face. | Audio: A male voice speaks with a tone of surprise and concern, followed by another male voice speaking with a calm, reassuring tone. The first voice then speaks again, sounding more urgent and anxious."
meld_02_dia224,meld_02_dia224_q02,evidence_cue,"When does the man in the blue shirt laugh heartily, leaning forward with his hands gesturing, showing happiness?","[0.0, 5.0]",s001,"The man in the blue shirt is laughing heartily, leaning forward with his hands gesturing.","loud, sustained laughter from the other man.","[s001] Visual: A man in a red shirt sits on an orange couch, looking at another man in a blue shirt. The man in the blue shirt is laughing heartily, leaning forward with his hands gesturing. The background shows a bar setting with other people and tables. | Audio: A man asks a question, followed by loud, sustained laughter from the other man."
meld_03_dia572,meld_03_dia572_q03,emotion_state,"At what point does the woman appear sad, visibly distressed and clutching her stomach?","[20.0, 25.0]",s005,"woman visibly in distress, clutching her stomach and looking up at the man with a pained expression",A woman's voice is heard speaking in a strained and pained tone,"[s005] Visual: A man in a blue and white plaid shirt stands with his arms outstretched, looking down at a woman lying in a hospital bed. The woman, wearing a light-colored hospital gown, is visibly in distress, clutching her stomach and looking up at the man with a pained expression. A brown leather bag rests on the bed beside her. | Audio: A woman's voice is heard speaking in a strained and pained tone, followed by a man's voice speaking in a calm, explanatory tone."
meld_04_dia362,meld_04_dia362_q02,evidence_cue,"When does the woman in the hospital gown speak in a strained, emotional tone, showing sadness?","[0.0, 10.0]","s001,s002",woman looking distressed,"woman speaking in a strained, emotional tone","[s001] Visual: A woman with brown hair lies in a hospital bed, wearing a white gown and looking distressed. A man in a light-colored jacket stands beside her, leaning over and speaking to her. The woman holds a white cloth to her head, and the man places his hand on her shoulder. | Audio: The woman is speaking in a strained, emotional tone, and the man is speaking in a concerned tone. There is a low hum in the background, possibly from medical equipment.
[s002] Visual: A woman in a white hospital gown lies in a hospital bed, visibly distressed and crying. A man in a light-colored shirt leans over her, looking down at her with a concerned expression. The woman raises her hand to her face, wiping her eyes. | Audio: The woman is crying and speaking in a distressed, high-pitched voice. The man speaks to her in a calm, reassuring tone."
meld_05_dia980,meld_05_dia980_q02,evidence_cue,"When does the man in the gray sweater speak with a questioning and exasperated tone, showing frustration?","[5.0, 10.0]",s002,gestures with his hands while speaking,A man speaks in a questioning and slightly exasperated tone.,"[s002] Visual: The man in the gray sweater holds a small white card and gestures with his hands while speaking. The man in the black jacket sits across from him, listening intently. A red plastic cup sits on the table between them. | Audio: A man speaks in a questioning and slightly exasperated tone. The audience laughs in the background."
meld_06_dia823,meld_06_dia823_q02,evidence_cue,How does the woman with brown hair show disappointment with her serious expression and hand gestures while speaking firmly?,"[10.0, 20.0]","s003,s004",sitting on a striped couch and talking with her hands; her expression serious; gaze directed off-camera,"speaks in a firm, insistent tone; delivering a short, direct statement","[s003] Visual: A woman with blonde hair, wearing a black and floral patterned short-sleeve top, stands in a room with a wooden dresser and a television in the background. She is talking and gesturing with her hands, then turns her head to her right. The scene cuts to a different woman with brown hair, wearing a light blue spaghetti strap top, sitting on a striped couch and talking with her hands. | Audio: A woman is speaking, followed by a loud, sustained, low-pitched electronic tone.
[s004] Visual: A woman with brown hair in a messy bun sits on a light-colored armchair, wearing a light blue spaghetti strap dress and a silver necklace. She gestures with her hands while speaking, her expression serious and her gaze directed off-camera. The background shows a cluttered living room with a pink tufted chair and various items on a shelf. | Audio: A woman speaks in a firm, insistent tone, delivering a short, direct statement. The audio is clear and focused on her voice."
meld_07_dia208,meld_07_dia208_q02,evidence_cue,When does the man in the black sweater show happiness with a slight smile while looking at the man in the red plaid shirt?,"[5.0, 10.0]",s002,smiling slightly as he looks at the other man,,"[s002] Visual: The man in the red plaid shirt sits with his arms crossed, looking down and then to his right with a pensive expression. The man in the black sweater sits beside him, resting his chin on his hand and smiling slightly as he looks at the other man. They are seated at a small round table with two mugs and a sugar bowl between them, in what appears to be a cafe or bar setting. | Audio: A male voice speaks in a conversational tone, followed by a loud, sustained, low-pitched electronic buzz."
moviechat_01_162,moviechat_01_162_q03,emotion_state,"When does the driver appear weary and sad, resting his head in his hand?","[80.0, 85.0]",s017,"The camera then cuts to a close-up of the driver, a man with dark hair and stubble, who is resting his head in his hand, appearing weary or stressed.; He is wearing a dark shirt, and his eyes are closed or looking down.","A male voice speaks in Mandarin Chinese, sounding calm and conversational.; The background is filled with the low rumble of the car's engine and the sound of tires on the road.","[s017] Visual: The video shows the interior of a moving car, with the driver and a passenger visible as silhouettes against the bright, tree-lined road ahead. The camera then cuts to a close-up of the driver, a man with dark hair and stubble, who is resting his head in his hand, appearing weary or stressed. He is wearing a dark shirt, and his eyes are closed or looking down. | Audio: A male voice speaks in Mandarin Chinese, sounding calm and conversational. The background is filled with the low rumble of the car's engine and the sound of tires on the road."
moviechat_02_154,moviechat_02_154_q21,evidence_cue,"What moment shows a man intently looking to the right in a dark scene with a distorted, echoing sound, possibly a siren, indicating fear?","[100.0, 105.0]",s021,"A man wearing glasses and a light-colored suit stands in the foreground, looking intently towards the right side of the frame.; Behind him, another man with longer hair is partially visible, also looking in the same direction.","A loud, distorted, and echoing sound, possibly a siren or alarm, is heard throughout the clip.","[s021] Visual: A man wearing glasses and a light-colored suit stands in the foreground, looking intently towards the right side of the frame. Behind him, another man with longer hair is partially visible, also looking in the same direction. The scene is dark, illuminated by a greenish light in the background, suggesting a nighttime setting. | Audio: A loud, distorted, and echoing sound, possibly a siren or alarm, is heard throughout the clip."
moviechat_03_160,moviechat_03_160_q02,evidence_cue,"When does the man in the light-colored shirt raise his hands to his head, showing frustration?","[0.0, 5.0]",s001,raising his hands to his head in a gesture of frustration or stress,"A rhythmic, percussive beat plays in the background, creating a tense atmosphere.","[s001] Visual: A man in a light-colored shirt sits in a dimly lit room, looking down at a laptop. Another person is visible in the background, out of focus. The man then looks up, his expression serious, before raising his hands to his head in a gesture of frustration or stress. | Audio: A rhythmic, percussive beat plays in the background, creating a tense atmosphere."
moviechat_04_159,moviechat_04_159_q03,emotion_state,At what point does the woman in the white shirt look surprised while looking at a laptop?,"[115.0, 120.0]",s024,looking at a laptop with a surprised expression,,"[s024] Visual: The video opens with a close-up of a dark, textured surface, possibly a piece of fabric or a bag, with a white string or thread visible. The scene then cuts to a woman in a white shirt and blue lanyard sitting at a desk, looking at a laptop with a surprised expression. A man in a light-colored shirt and tie is then shown in a similar office setting, looking down and then up with a serious expression. | Audio: A female voice speaks in Mandarin Chinese, followed by a male voice also speaking in Mandarin Chinese. The audio quality is clear and the speech is easily understandable."
moviechat_05_30,moviechat_05_30_q02,emotion_state,When does the man in the black robe exhibit frustration?,"[20.0, 25.0]",s005,"man with a pale, gaunt face and dark, hollow eyes, wearing a black robe, raises his right arm, holding a wand, appears to be shouting or casting a spell; intense expression","loud, distorted scream; deep, rumbling sound effect","[s005] Visual: A man with a pale, gaunt face and dark, hollow eyes, wearing a black robe, is shown in a close-up. He raises his right arm, holding a wand, and appears to be shouting or casting a spell. The scene is dark and atmospheric, with a focus on the man's intense expression and the raised wand. | Audio: A loud, distorted scream is heard, followed by a deep, rumbling sound effect."
emostim_01_TheShining_clip_2,emostim_01_TheShining_clip_2_q007,evidence_cue,"When does the woman, tense with effort, struggle to open a door while holding a knife, showing fear?","[100.0, 105.0]",s021,"A woman with long black hair, wearing a blue robe, is seen from behind, struggling to open a white door while holding a large knife.; A young child with blonde hair, wrapped in a red and green striped blanket, clings to her back.; The woman uses the knife to pry at the door handle, her body tense with effort.","A loud, sustained, high-pitched electronic tone, similar to a siren or alarm, is audible throughout the clip.","[s021] Visual: A woman with long black hair, wearing a blue robe, is seen from behind, struggling to open a white door while holding a large knife. A young child with blonde hair, wrapped in a red and green striped blanket, clings to her back. The woman uses the knife to pry at the door handle, her body tense with effort. | Audio: A loud, sustained, high-pitched electronic tone, similar to a siren or alarm, is audible throughout the clip."
emostim_02_WhenHarryMetSally_clip_1,emostim_02_WhenHarryMetSally_clip_1_q07,evidence_cue,"When does the woman groan in pain with her head tilted back and eyes closed, showing sadness?","[105.0, 110.0]",s022,"tilting her head back with her eyes closed and hand on her jaw, as if in pain.","A woman groans in pain, followed by a man speaking in a low, pained voice.","[s022] Visual: A woman with blonde, curly hair is shown in a close-up, tilting her head back with her eyes closed and hand on her jaw, as if in pain. The scene then cuts to a man with dark hair and a beard, wearing a patterned sweater, who looks down and then to the side with a pained expression. Both are in what appears to be a crowded restaurant or diner. | Audio: A woman groans in pain, followed by a man speaking in a low, pained voice."
